,trend,residual,seasonality
185,112.03,0.0,0.0
186,111.96,0.0,0.0
187,112.79,0.0,0.0
188,113.28,0.0,0.0
189,112.31,0.0,0.0
190,113.6,0.0,0.0
191,113.4,0.0,0.0
192,113.92,0.0,0.0
193,114.07,0.0,0.0
194,113.78,0.0,0.0
195,114.77,0.0,0.0
196,114.06,0.0,0.0
197,115.12,0.0,0.0
198,115.56,0.0,0.0
199,114.69,0.0,0.0
200,114.23,0.0,0.0
201,113.91,0.0,0.0
202,113.87,0.0,0.0
203,114.2,0.0,0.0
204,114.69,0.0,0.0
205,113.87,0.0,0.0
206,113.29,0.0,0.0
207,112.06,0.0,0.0
208,113.31,0.0,0.0
209,113.23,0.0,0.0
210,113.53,0.0,0.0
211,112.84,0.0,0.0
212,112.84,0.0,0.0
213,112.5,0.0,0.0
214,112.86,0.0,0.0
215,112.15,0.0,0.0
216,111.85,0.0,0.0
217,113.19,0.0,0.0
218,114.62,0.0,0.0
219,114.64,0.0,0.0
220,114.06,0.0,0.0
221,113.0,0.0,0.0
222,112.69,0.0,0.0
223,113.45,0.0,0.0
224,112.72,0.0,0.0
225,112.98,0.0,0.0
226,112.97,0.0,0.0
227,112.35,0.0,0.0
228,112.54,0.0,0.0
229,113.94,0.0,0.0
230,114.23,0.0,0.0
231,113.47,0.0,0.0
232,111.24,0.0,0.0
233,111.4,0.0,0.0
234,111.7,0.0,0.0
235,111.38,0.0,0.0
236,110.54,0.0,0.0
237,108.63,0.0,0.0
238,110.66,0.0,0.0
239,110.94,0.0,0.0
240,110.85,0.0,0.0
241,109.98,0.0,0.0
242,110.75,0.0,0.0
243,111.42,0.0,0.0
244,110.84,0.0,0.0
245,111.07,0.0,0.0
246,111.69,0.0,0.0
247,111.96,0.0,0.0
248,111.25,0.0,0.0
249,111.22,0.0,0.0
250,110.67,0.0,0.0
251,109.88,0.0,0.0
252,109.69,0.0,0.0
253,109.44,0.0,0.0
254,108.81,0.0,0.0
255,108.73,0.0,0.0
256,109.02,0.0,0.0
257,108.25,0.0,0.0
258,107.96,0.0,0.0
259,108.39,0.0,0.0
260,108.65,0.0,0.0
261,109.15,0.0,0.0
262,109.16,0.0,0.0
263,109.5,0.0,0.0
264,108.44,0.0,0.0
265,107.25,0.0,0.0
266,107.12,0.0,0.0
267,107.97,0.0,0.0
268,108.96,0.0,0.0
269,110.63,0.0,0.0
270,111.0,0.0,0.0
271,109.91,0.0,0.0
272,110.59,0.0,0.0
273,110.48,0.0,0.0
274,111.84,0.0,0.0
275,112.47,0.0,0.0
276,112.53,0.0,0.0
277,112.52,0.0,0.0
278,112.66,0.0,0.0
279,113.78,0.0,0.0
280,111.8,0.0,0.0
281,112.36,0.0,0.0
282,112.48,0.0,0.0
283,112.61,0.0,0.0
284,111.3,0.0,0.0
285,111.66,0.0,0.0
286,111.86,0.0,0.0
287,112.23,0.0,0.0
288,113.09,0.0,0.0
289,113.19,0.0,0.0
290,113.03,0.0,0.0
291,112.39,0.0,0.0
292,113.02,0.0,0.0
293,113.47,0.0,0.0
294,113.34,0.0,0.0
295,113.81,0.0,0.0
